-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.027,  0.214
-183.799, 80.193, 0.123,  0.247
-183.797, 80.185, 0.272,  0.280
-183.794, 80.173, 0.374,  0.313
-183.790, 80.157, 0.463,  0.346
-183.785, 80.136, 0.654,  0.379
-183.779, 80.109, 0.834,  0.412
-183.772, 80.075, 1.047,  0.445
-183.764, 80.034, 1.251,  0.478
-183.755, 79.986, 1.467,  0.511
-183.745, 79.932, 1.673,  0.544
-183.734, 79.870, 1.867,  0.577
-183.723, 79.804, 2.037,  0.610
-183.712, 79.733, 2.151,  0.643
-183.701, 79.661, 2.184,  0.676
-183.691, 79.591, 2.126,  0.709
-183.681, 79.525, 1.996,  0.742
-183.673, 79.467, 1.736,  0.775
-183.667, 79.421, 1.381,  0.808
-183.662, 79.388, 1.040,  0.841
-183.659, 79.368, 0.589,  0.874
-183.658, 79.361, 0.269,  0.907
-183.658, 79.358, 0.229,  0.940
-183.656, 79.348, 0.351,  0.973
-183.654, 79.332, 0.471,  1.006
-183.651, 79.309, 0.700,  1.039
-183.646, 79.277, 0.963,  1.072
-183.640, 79.237, 1.189,  1.105
-183.634, 79.190, 1.394,  1.138
-183.626, 79.138, 1.586,  1.171
-183.619, 79.079, 1.769,  1.204
-183.610, 79.015, 1.947,  1.237
-183.602, 78.945, 2.102,  1.270
-183.593, 78.872, 2.205,  1.303
-183.585, 78.798, 2.227,  1.336
-183.577, 78.726, 2.162,  1.369
-183.569, 78.659, 2.026,  1.402
-183.562, 78.598, 1.848,  1.435
-183.556, 78.544, 1.650,  1.468
-183.551, 78.498, 1.382,  1.501
-183.548, 78.467, 0.920,  1.534
-183.546, 78.451, 0.474,  1.567
-183.545, 78.443, 0.335,  1.600
-183.543, 78.428, 0.494,  1.633
-183.541, 78.406, 0.682,  1.666
-183.538, 78.377, 0.846,  1.699
-183.534, 78.343, 1.033,  1.732
