286.421, 132.529, 7.430,  8.849 False
285.926, 132.584, 7.481,  8.916 False
285.428, 132.636, 7.539,  8.983 False
284.925, 132.679, 7.584,  9.050 False
284.419, 132.716, 7.641,  9.117 False
283.908, 132.752, 7.699,  9.184 False
283.393, 132.786, 7.761,  9.251 False
282.875, 132.816, 7.810,  9.318 False
282.353, 132.842, 7.866,  9.385 False
281.827, 132.861, 7.911,  9.452 False
281.297, 132.877, 7.971,  9.519 False
280.764, 132.890, 8.024,  9.586 False
280.227, 132.901, 8.085,  9.653 False
279.686, 132.909, 8.136,  9.720 False
279.141, 132.913, 8.194,  9.787 False
278.593, 132.912, 8.242,  9.854 False
278.041, 132.906, 8.292,  9.921 False
277.487, 132.898, 8.322,  9.988 False
276.932, 132.889, 8.338, 10.055 False
276.376, 132.877, 8.343, 10.122 False
275.821, 132.858, 8.346, 10.189 False
275.265, 132.839, 8.352, 10.256 False
274.708, 132.819, 8.358, 10.323 False
274.152, 132.795, 8.361, 10.390 False
273.595, 132.769, 8.363, 10.457 False
273.038, 132.740, 8.364, 10.524 False
272.482, 132.709, 8.365, 10.591 False
271.925, 132.678, 8.366, 10.658 False
271.368, 132.643, 8.366, 10.725 False
270.812, 132.607, 8.366, 10.792 False
270.255, 132.570, 8.366, 10.859 False
269.699, 132.530, 8.366, 10.926 False
269.143, 132.486, 8.364, 10.993 False
268.587, 132.443, 8.364, 11.060 False
268.032, 132.398, 8.364, 11.127 False
267.476, 132.352, 8.363, 11.194 False
266.921, 132.303, 8.362, 11.261 False
266.365, 132.254, 8.361, 11.328 False
265.810, 132.203, 8.360, 11.395 False
265.255, 132.152, 8.359, 11.462 False
264.701, 132.100, 8.358, 11.529 False
264.146, 132.048, 8.357, 11.596 False
263.591, 131.994, 8.356, 11.663 False
263.037, 131.940, 8.355, 11.730 False
262.483, 131.884, 8.354, 11.797 False
261.929, 131.829, 8.353, 11.864 False
261.375, 131.773, 8.352, 11.931 False
260.821, 131.716, 8.352, 11.998 False
260.267, 131.659, 8.351, 12.065 False
259.713, 131.601, 8.350, 12.132 False
259.160, 131.543, 8.349, 12.199 False
258.606, 131.484, 8.348, 12.266 False
258.053, 131.426, 8.348, 12.333 False
257.500, 131.367, 8.347, 12.400 False
256.946, 131.308, 8.346, 12.467 False
256.393, 131.249, 8.346, 12.534 False
255.840, 131.189, 8.345, 12.601 False
255.287, 131.130, 8.345, 12.668 False
254.733, 131.071, 8.344, 12.735 False
254.180, 131.012, 8.343, 12.802 False
253.627, 130.953, 8.343, 12.869 False
253.074, 130.894, 8.342, 12.936 False
252.521, 130.836, 8.342, 13.003 False
251.968, 130.778, 8.342, 13.070 False
251.415, 130.720, 8.341, 13.137 False
250.862, 130.663, 8.341, 13.204 False
250.309, 130.607, 8.340, 13.271 False
249.756, 130.551, 8.340, 13.338 False
249.202, 130.495, 8.340, 13.405 False
248.649, 130.439, 8.339, 13.472 False
248.096, 130.384, 8.339, 13.539 False
247.543, 130.329, 8.339, 13.606 False
246.989, 130.275, 8.338, 13.673 False
246.436, 130.223, 8.338, 13.740 False
245.883, 130.171, 8.338, 13.807 False
245.329, 130.119, 8.338, 13.874 False
244.776, 130.068, 8.337, 13.941 False
244.222, 130.017, 8.337, 14.008 False
243.669, 129.967, 8.337, 14.075 False
243.115, 129.917, 8.337, 14.142 False
242.561, 129.868, 8.337, 14.209 False
242.008, 129.820, 8.336, 14.276 False
241.454, 129.772, 8.336, 14.343 False
240.900, 129.725, 8.336, 14.410 False
240.347, 129.679, 8.336, 14.477 False
239.793, 129.633, 8.336, 14.544 False
239.239, 129.590, 8.335, 14.611 False
238.685, 129.546, 8.335, 14.678 False
238.131, 129.503, 8.335, 14.745 False
237.576, 129.462, 8.335, 14.812 False
237.022, 129.421, 8.335, 14.879 False
236.468, 129.383, 8.335, 14.946 False
235.914, 129.344, 8.335, 15.013 False
235.359, 129.306, 8.335, 15.080 False
234.805, 129.271, 8.334, 15.147 False
234.250, 129.236, 8.335, 15.214 False
233.695, 129.203, 8.334, 15.281 False
233.141, 129.170, 8.335, 15.348 False
232.586, 129.138, 8.335, 15.415 False
232.031, 129.106, 8.335, 15.482 False
231.477, 129.075, 8.334, 15.549 False
230.922, 129.045, 8.334, 15.616 False
230.367, 129.016, 8.334, 15.683 False
229.812, 128.987, 8.334, 15.750 False
229.257, 128.960, 8.334, 15.817 False
228.702, 128.932, 8.334, 15.884 False
228.147, 128.907, 8.334, 15.951 False
227.592, 128.884, 8.334, 16.018 False
227.037, 128.860, 8.334, 16.085 False
226.482, 128.837, 8.334, 16.152 False
225.927, 128.815, 8.334, 16.219 False
225.372, 128.795, 8.334, 16.286 False
224.816, 128.776, 8.334, 16.353 False
224.261, 128.756, 8.334, 16.420 False
223.706, 128.738, 8.334, 16.487 False
223.150, 128.721, 8.334, 16.554 False
222.595, 128.704, 8.334, 16.621 False
222.040, 128.689, 8.334, 16.688 False
221.484, 128.676, 8.333, 16.755 False
220.929, 128.663, 8.333, 16.822 False
220.373, 128.651, 8.334, 16.889 False
219.818, 128.639, 8.334, 16.956 False
219.263, 128.630, 8.333, 17.023 False
218.707, 128.621, 8.333, 17.090 False
218.152, 128.614, 8.333, 17.157 False
217.596, 128.606, 8.334, 17.224 False
217.040, 128.600, 8.333, 17.291 False
216.485, 128.593, 8.333, 17.358 False
215.929, 128.588, 8.333, 17.425 False
215.374, 128.583, 8.333, 17.492 False
214.818, 128.580, 8.333, 17.559 False
214.263, 128.577, 8.333, 17.626 False
213.707, 128.575, 8.333, 17.693 False
213.152, 128.573, 8.333, 17.760 False
212.596, 128.572, 8.333, 17.827 False
212.040, 128.572, 8.333, 17.894 False
211.485, 128.572, 8.333, 17.961 False
210.929, 128.572, 8.333, 18.028 False
210.374, 128.573, 8.333, 18.095 False
209.818, 128.575, 8.333, 18.162 False
209.263, 128.579, 8.333, 18.229 False
208.707, 128.583, 8.333, 18.296 False
208.152, 128.587, 8.333, 18.363 False
207.596, 128.592, 8.333, 18.430 False
207.041, 128.597, 8.333, 18.497 False
206.485, 128.602, 8.333, 18.564 False
205.930, 128.610, 8.333, 18.631 False
205.374, 128.617, 8.333, 18.698 False
204.819, 128.625, 8.333, 18.765 False
204.263, 128.633, 8.333, 18.832 False
203.708, 128.643, 8.333, 18.899 False
203.152, 128.653, 8.333, 18.966 False
202.597, 128.663, 8.333, 19.033 False
202.041, 128.673, 8.333, 19.100 False
201.486, 128.683, 8.333, 19.167 False
200.930, 128.694, 8.333, 19.234 False
200.375, 128.705, 8.333, 19.301 False
199.819, 128.716, 8.333, 19.368 False
199.264, 128.728, 8.333, 19.435 False
198.709, 128.739, 8.333, 19.502 False
198.153, 128.751, 8.333, 19.569 False
197.598, 128.763, 8.333, 19.636 False
197.042, 128.775, 8.333, 19.703 False
196.487, 128.788, 8.333, 19.770 False
195.932, 128.800, 8.333, 19.837 False
195.376, 128.813, 8.333, 19.904 False
194.821, 128.826, 8.333, 19.971 False
194.266, 128.839, 8.333, 20.038 False
193.710, 128.852, 8.333, 20.105 False
193.155, 128.866, 8.333, 20.172 False
192.599, 128.879, 8.333, 20.239 False
192.044, 128.893, 8.333, 20.306 False
191.489, 128.906, 8.333, 20.373 False
190.933, 128.920, 8.333, 20.440 False
190.378, 128.934, 8.333, 20.507 False
189.822, 128.948, 8.333, 20.574 False
189.267, 128.962, 8.333, 20.641 False
188.712, 128.975, 8.333, 20.708 False
188.156, 128.990, 8.333, 20.775 False
187.601, 129.004, 8.333, 20.842 False
187.045, 129.018, 8.333, 20.909 False
186.490, 129.032, 8.333, 20.976 False
185.935, 129.046, 8.333, 21.043 False
185.379, 129.060, 8.333, 21.110 False
184.824, 129.074, 8.333, 21.177 False
184.268, 129.088, 8.333, 21.244 False
183.713, 129.103, 8.333, 21.311 False
183.158, 129.117, 8.333, 21.378 False
182.602, 129.131, 8.333, 21.445 False
182.047, 129.145, 8.333, 21.512 False
181.492, 129.159, 8.333, 21.579 False
180.936, 129.173, 8.333, 21.646 False
180.381, 129.186, 8.333, 21.713 False
179.825, 129.200, 8.333, 21.780 False
179.270, 129.214, 8.333, 21.847 False
178.715, 129.227, 8.333, 21.914 False
178.159, 129.241, 8.333, 21.981 False
177.604, 129.254, 8.333, 22.048 False
177.048, 129.268, 8.333, 22.115 False
176.493, 129.281, 8.333, 22.182 False
175.938, 129.294, 8.333, 22.249 False
175.382, 129.307, 8.333, 22.316 False
174.827, 129.320, 8.333, 22.383 False
174.271, 129.333, 8.333, 22.450 False
173.716, 129.345, 8.333, 22.517 False
173.161, 129.358, 8.333, 22.584 False
172.605, 129.370, 8.333, 22.651 False
172.050, 129.382, 8.333, 22.718 False
171.494, 129.394, 8.333, 22.785 False
170.939, 129.406, 8.333, 22.852 False
170.384, 129.418, 8.333, 22.919 False
169.828, 129.430, 8.333, 22.986 False
169.273, 129.441, 8.333, 23.053 False
168.718, 129.452, 8.333, 23.120 False
168.162, 129.463, 8.333, 23.187 False
167.607, 129.474, 8.333, 23.254 False
167.051, 129.485, 8.333, 23.321 False
166.497, 129.496, 8.305, 23.388 False
165.949, 129.506, 8.184, 23.455 False
165.411, 129.516, 8.020, 23.522 False
164.888, 129.525, 7.769, 23.589 False
164.385, 129.534, 7.455, 23.656 False
163.904, 129.542, 7.115, 23.723 False
163.445, 129.549, 6.786, 23.790 False
163.007, 129.556, 6.476, 23.857 False
162.586, 129.562, 6.216, 23.924 False
162.182, 129.568, 5.991, 23.991 False
161.789, 129.574, 5.829, 24.058 False
161.404, 129.579, 5.712, 24.125 False
161.025, 129.584, 5.653, 24.192 False
160.646, 129.589, 5.665, 24.259 False
160.267, 129.594, 5.661, 24.326 False
159.886, 129.598, 5.693, 24.393 False
159.504, 129.603, 5.731, 24.460 False
159.119, 129.607, 5.766, 24.527 False
158.734, 129.612, 5.762, 24.594 False
158.351, 129.616, 5.738, 24.661 False
157.970, 129.620, 5.706, 24.728 False
157.592, 129.624, 5.661, 24.795 False
157.216, 129.628, 5.617, 24.862 False
156.844, 129.631, 5.563, 24.929 False
156.475, 129.634, 5.511, 24.996 False
156.111, 129.638, 5.448, 25.063 False
155.750, 129.641, 5.390, 25.130 False
155.394, 129.643, 5.324, 25.197 False
155.041, 129.646, 5.276, 25.264 False
154.691, 129.649, 5.242, 25.331 False
154.341, 129.651, 5.239, 25.398 False
153.990, 129.652, 5.283, 25.465 False
153.634, 129.653, 5.354, 25.532 False
153.271, 129.655, 5.469, 25.599 False
152.901, 129.657, 5.586, 25.666 False
152.523, 129.658, 5.694, 25.733 False
152.140, 129.660, 5.752, 25.800 False
151.757, 129.661, 5.765, 25.867 False
151.373, 129.662, 5.758, 25.934 False
150.991, 129.663, 5.731, 26.001 False
150.610, 129.664, 5.701, 26.068 False
150.233, 129.665, 5.655, 26.135 False
149.858, 129.666, 5.611, 26.202 False
149.487, 129.666, 5.552, 26.269 False
149.119, 129.667, 5.500, 26.336 False
148.755, 129.665, 5.445, 26.403 False
148.394, 129.664, 5.418, 26.470 False
148.032, 129.663, 5.428, 26.537 False
147.668, 129.663, 5.462, 26.604 False
147.300, 129.662, 5.543, 26.671 False
146.926, 129.661, 5.642, 26.738 False
146.543, 129.660, 5.784, 26.805 False
146.152, 129.659, 5.891, 26.872 False
145.757, 129.658, 5.937, 26.939 False
145.361, 129.657, 5.938, 27.006 False
144.967, 129.656, 5.911, 27.073 False
144.575, 129.654, 5.878, 27.140 False
144.185, 129.653, 5.832, 27.207 False
143.799, 129.652, 5.789, 27.274 False
143.416, 129.650, 5.730, 27.341 False
143.036, 129.649, 5.676, 27.408 False
